# Timestep performance metrics.
# Lib: on-off_control.res: on-off_control       # results descripti
# Period: Mon-09-Jan@00h01(1967) to Mon-09-Jan@24h00(1967) : sim@01m, output@01m
#Time,receptiondbT(degC),reception2dbT(degC),reception3dbT(degC),reception4dbT(degC),receptionMRT(degC),reception2MRT(degC),reception3MRT(degC),reception4MRT(degC),receptionTotSens(kW),reception2TotSens(kW),reception3TotSens(kW),reception4TotSens(kW),AmbientdbTmp(degC)
1967-01-09 00:01:30,20.01,20.71,21.81,19.75,20.02,20.21,20.60,20.29,0.00,0.00,6.00,0.00,19.46
1967-01-09 00:02:30,19.91,20.42,22.15,19.74,20.01,20.20,20.66,20.28,0.00,0.00,6.00,0.00,19.45
1967-01-09 00:03:30,20.44,20.21,21.94,19.72,20.01,20.19,20.65,20.28,4.00,0.00,0.00,0.00,19.43
1967-01-09 00:04:30,21.43,20.06,21.78,20.17,20.00,20.18,20.67,20.33,4.00,0.00,0.00,6.00,19.42
1967-01-09 00:05:30,22.12,19.94,21.21,20.49,20.01,20.17,20.62,20.35,4.00,0.00,0.00,6.00,19.40
1967-01-09 00:06:30,22.00,19.85,20.79,21.17,20.02,20.16,20.60,20.44,0.00,0.00,0.00,6.00,19.39
1967-01-09 00:07:30,21.30,19.79,20.49,21.66,20.02,20.15,20.57,20.50,0.00,0.00,0.00,6.00,19.37
1967-01-09 00:08:30,20.81,20.65,20.26,22.02,20.01,20.14,20.54,20.56,0.00,6.00,0.00,6.00,19.36
1967-01-09 00:09:30,20.45,22.18,20.10,22.26,20.00,20.14,20.52,20.62,0.00,6.00,0.00,6.00,19.34
1967-01-09 00:10:30,20.19,23.24,19.97,22.44,19.99,20.15,20.50,20.67,0.00,6.00,0.00,6.00,19.33
1967-01-09 00:11:30,20.01,23.96,20.34,22.56,19.98,20.18,20.54,20.73,0.00,6.00,6.00,6.00,19.31
1967-01-09 00:12:30,19.87,23.53,20.60,22.64,19.97,20.20,20.55,20.78,0.00,0.00,6.00,6.00,19.30
1967-01-09 00:13:30,20.38,22.34,21.25,22.71,19.96,20.20,20.62,20.82,4.00,0.00,6.00,6.00,19.28
1967-01-09 00:14:30,21.35,21.52,21.71,22.75,19.96,20.20,20.66,20.87,4.00,0.00,6.00,6.00,19.27
1967-01-09 00:15:30,22.03,20.95,22.04,22.78,19.96,20.19,20.72,20.91,4.00,0.00,6.00,6.00,19.25
1967-01-09 00:16:30,21.90,20.54,21.82,22.81,19.97,20.17,20.70,20.96,0.00,0.00,0.00,6.00,19.24
1967-01-09 00:17:30,21.19,20.25,21.66,22.83,19.97,20.16,20.72,20.99,0.00,0.00,0.00,6.00,19.23
1967-01-09 00:18:30,20.69,20.04,21.08,22.84,19.96,20.15,20.66,21.03,0.00,0.00,0.00,6.00,19.21
1967-01-09 00:19:30,20.33,19.88,20.66,22.85,19.95,20.14,20.64,21.07,0.00,0.00,0.00,6.00,19.20
1967-01-09 00:20:30,20.08,19.77,20.36,22.86,19.94,20.12,20.61,21.10,0.00,0.00,0.00,6.00,19.18
1967-01-09 00:21:30,19.89,20.59,20.13,22.86,19.93,20.11,20.58,21.13,0.00,6.00,0.00,6.00,19.17
1967-01-09 00:22:30,20.36,22.09,19.96,22.87,19.92,20.11,20.55,21.17,4.00,6.00,0.00,6.00,19.16
