# Timestep performance metrics.
# Lib: cellular_shd_spr.res: For cellular_shd_jan-feb no other
# Period: Mon-17-Apr@00h07(2000) to Sun-23-Apr@23h52(2000) : sim@15m, output@15m
#Time,manager_adbT(degC),manager_bdbT(degC),corridordbT(degC),manager_aResT(degC),manager_bResT(degC),corridorResT(degC)
107.00521,17.14,17.12,21.27,17.47,17.45,21.20
107.01562,17.04,17.02,21.56,17.37,17.35,21.33
107.02603,16.94,16.93,21.65,17.27,17.25,21.36
107.03646,16.85,16.84,21.55,17.18,17.16,21.30
107.04687,16.77,16.75,21.50,17.09,17.07,21.25
107.05728,16.69,16.67,21.47,17.00,16.99,21.21
107.06771,16.61,16.60,21.42,16.92,16.91,21.17
107.07812,16.53,16.52,21.37,16.84,16.83,21.12
107.08853,16.45,16.44,21.33,16.76,16.75,21.08
107.09896,16.39,16.38,21.28,16.69,16.68,21.03
107.10937,16.33,16.32,21.23,16.63,16.62,20.99
107.11978,16.28,16.27,21.18,16.57,16.56,20.94
107.13021,16.23,16.22,21.13,16.52,16.50,20.89
107.14062,16.18,16.17,21.08,16.46,16.45,20.85
107.15103,16.13,16.12,21.04,16.41,16.40,20.80
107.16146,16.08,16.07,20.99,16.36,16.35,20.75
107.17187,16.03,16.02,20.94,16.31,16.30,20.71
107.18228,15.98,15.97,20.90,16.26,16.25,20.66
107.19271,15.92,15.91,20.85,16.21,16.19,20.62
107.20312,15.86,15.85,20.81,16.15,16.14,20.58
107.21353,15.81,15.80,20.77,16.10,16.08,20.54
107.22396,15.77,15.76,20.72,16.06,16.05,20.49
107.23437,15.75,15.74,20.68,16.04,16.03,20.46
107.24478,15.74,15.73,20.65,16.03,16.02,20.42
107.25521,17.37,17.37,20.61,16.91,16.90,20.39
107.26562,19.07,19.07,20.59,17.92,17.92,20.36
107.27603,19.07,19.07,20.58,18.10,18.09,20.35
107.28646,19.24,19.24,20.60,18.34,18.34,20.37
107.29687,19.24,19.24,20.64,18.49,18.49,20.41
107.30728,19.20,19.20,20.70,18.59,18.60,20.46
107.31771,19.20,19.20,20.76,18.71,18.73,20.52
107.32812,19.12,19.14,20.84,18.79,18.83,20.59
107.33853,19.17,19.24,21.31,18.95,19.04,20.89
107.34896,19.69,19.83,22.07,19.40,19.54,21.38
107.35937,20.55,20.74,22.36,20.04,20.23,21.65
107.36978,20.99,21.25,22.45,20.50,20.75,21.80
107.38021,21.50,21.80,22.71,21.02,21.32,22.03
107.39062,22.16,22.50,22.93,21.66,21.97,22.25
107.40103,22.82,23.17,23.15,22.29,22.61,22.47
107.41146,23.42,23.74,23.38,22.89,23.19,22.70
107.42187,23.86,24.00,23.62,23.40,23.61,22.93
107.43228,24.00,24.00,23.86,23.76,23.89,23.17
107.44271,24.00,24.00,23.99,24.05,24.17,23.36
107.45312,24.00,24.00,24.00,24.34,24.47,23.47
107.46353,24.00,24.00,24.00,24.63,24.76,23.57
107.47396,24.00,24.00,24.00,24.88,24.99,23.67
107.48437,24.00,24.00,24.00,25.10,25.18,23.75
107.49478,24.00,24.00,24.00,25.29,25.35,23.84
107.50521,24.00,24.00,24.00,25.46,25.49,23.91
107.51562,24.00,24.00,24.00,25.62,25.61,23.99
107.52603,24.00,24.00,24.00,25.74,25.71,24.05
107.53646,24.00,24.00,24.00,25.84,25.79,24.12
107.54687,24.00,24.00,24.00,25.95,25.87,24.17
107.55728,24.00,24.00,24.00,26.04,25.94,24.23
107.56771,24.00,24.00,24.00,26.05,25.95,24.27
107.57812,24.00,24.00,24.00,26.00,25.91,24.31
107.58853,24.00,24.00,24.00,25.91,25.81,24.34
107.59896,24.00,24.00,24.00,25.83,25.70,24.37
107.60937,24.00,24.00,24.00,25.74,25.60,24.38
107.61978,24.00,24.00,24.00,25.65,25.51,24.39
107.63021,24.00,24.00,24.00,25.56,25.42,24.40
107.64062,24.00,24.00,24.00,25.47,25.33,24.41
107.65103,24.00,24.00,24.00,25.37,25.23,24.41
107.66146,24.00,24.00,24.00,25.27,25.14,24.40
107.67187,24.00,24.00,24.00,25.16,25.05,24.40
107.68228,24.00,24.00,24.00,25.04,24.96,24.39
107.69271,24.00,24.00,24.00,24.93,24.86,24.38
107.70312,24.00,24.00,24.00,24.82,24.78,24.37
107.71353,24.00,24.00,24.00,24.72,24.69,24.36
107.72396,24.00,24.00,24.00,24.62,24.59,24.35
107.73437,24.00,24.00,24.00,24.52,24.50,24.34
107.74478,24.00,24.00,24.00,24.42,24.41,24.33
107.75521,24.02,24.07,24.73,24.32,24.34,24.70
107.76562,23.96,24.01,25.73,24.15,24.18,25.24
107.77603,23.74,23.73,25.95,23.92,23.91,25.38
107.78646,23.45,23.44,25.95,23.66,23.65,25.41
107.79687,23.19,23.19,26.00,23.42,23.42,25.45
107.80728,22.96,22.96,26.00,23.20,23.20,25.46
107.81771,22.75,22.75,26.00,23.00,23.00,25.46
107.82812,22.54,22.54,26.00,22.80,22.80,25.46
107.83853,22.33,22.34,25.67,22.60,22.60,25.27
107.84896,22.14,22.15,25.32,22.42,22.42,25.02
107.85937,21.96,21.97,25.24,22.24,22.24,24.92
107.86978,21.79,21.79,25.14,22.06,22.07,24.82
107.88021,21.61,21.62,25.03,21.89,21.90,24.73
107.89062,21.44,21.44,24.95,21.72,21.72,24.64
107.90103,21.25,21.26,24.86,21.54,21.54,24.56
107.91146,21.07,21.08,24.78,21.36,21.37,24.48
107.92187,20.90,20.91,24.70,21.20,21.21,24.40
107.93228,20.76,20.77,24.62,21.06,21.07,24.32
107.94271,20.63,20.64,24.55,20.93,20.94,24.25
107.95312,20.51,20.52,24.47,20.81,20.82,24.18
107.96353,20.39,20.40,24.40,20.69,20.70,24.11
107.97396,20.27,20.28,24.34,20.57,20.58,24.05
107.98437,20.15,20.16,24.27,20.45,20.46,23.98
107.99478,20.02,20.04,24.21,20.33,20.34,23.92
108.00521,19.91,19.92,24.14,20.21,20.22,23.86
108.01562,19.79,19.80,24.08,20.10,20.11,23.80
108.02603,19.68,19.69,24.02,19.99,20.00,23.74
108.03646,19.57,19.58,23.96,19.88,19.89,23.68
108.04687,19.47,19.48,23.90,19.78,19.79,23.63
108.05728,19.36,19.37,23.84,19.67,19.68,23.57
108.06771,19.26,19.26,23.79,19.57,19.58,23.52
108.07812,19.15,19.16,23.73,19.46,19.47,23.46
108.08853,19.04,19.05,23.67,19.36,19.36,23.41
108.09896,18.92,18.93,23.62,19.24,19.24,23.35
108.10937,18.79,18.80,23.56,19.11,19.12,23.30
108.11978,18.66,18.67,23.50,18.99,19.00,23.24
108.13021,18.56,18.57,23.44,18.89,18.89,23.18
108.14062,18.47,18.48,23.38,18.80,18.81,23.13
108.15103,18.40,18.40,23.33,18.72,18.72,23.07
108.16146,18.32,18.33,23.27,18.64,18.64,23.01
108.17187,18.24,18.25,23.21,18.56,18.56,22.96
108.18228,18.16,18.16,23.15,18.47,18.48,22.90
108.19271,18.07,18.08,23.10,18.39,18.40,22.85
108.20312,17.98,17.99,23.04,18.30,18.31,22.80
108.21353,17.90,17.91,22.98,18.22,18.23,22.74
108.22396,17.83,17.84,22.93,18.15,18.16,22.69
108.23437,17.78,17.78,22.88,18.10,18.10,22.64
108.24478,17.73,17.74,22.82,18.05,18.06,22.59
108.25521,18.35,18.36,22.78,18.37,18.37,22.54
108.26562,19.04,19.04,22.73,18.76,18.76,22.50
108.27603,19.04,19.04,22.70,18.81,18.82,22.47
108.28646,19.06,19.06,22.68,18.86,18.87,22.45
108.29687,19.06,19.06,22.67,18.91,18.92,22.44
108.30728,19.08,19.08,22.67,18.97,18.98,22.44
108.31771,19.08,19.08,22.68,19.03,19.03,22.44
108.32812,19.04,19.04,22.69,19.05,19.06,22.45
108.33853,19.23,19.23,23.10,19.23,19.24,22.69
108.34896,19.94,19.94,23.76,19.72,19.73,23.10
108.35937,20.65,20.66,23.94,20.23,20.24,23.27
108.36978,20.92,20.93,23.94,20.54,20.55,23.35
108.38021,21.26,21.27,24.00,20.89,20.91,23.44
108.39062,21.76,21.78,24.00,21.35,21.38,23.51
108.40103,22.25,22.31,24.00,21.84,21.89,23.57
108.41146,22.74,22.84,24.00,22.35,22.44,23.64
108.42187,23.27,23.42,24.00,22.89,23.02,23.70
108.43228,23.77,23.86,24.00,23.43,23.54,23.77
108.44271,24.00,24.00,24.00,23.85,23.93,23.84
108.45312,24.00,24.00,24.00,24.16,24.25,23.92
108.46353,24.00,24.00,24.00,24.45,24.55,24.00
108.47396,24.00,24.00,24.00,24.69,24.78,24.08
108.48437,24.00,24.00,24.00,24.90,24.96,24.16
108.49478,24.00,24.00,24.00,25.06,25.11,24.23
108.50521,24.00,24.00,24.00,25.20,25.23,24.29
108.51562,24.00,24.00,24.00,25.32,25.31,24.36
108.52603,24.00,24.00,24.00,25.41,25.38,24.41
108.53646,24.00,24.00,24.00,25.47,25.43,24.46
108.54687,24.00,24.00,24.00,25.55,25.48,24.50
108.55728,24.00,24.00,24.00,25.61,25.52,24.54
108.56771,24.00,24.00,24.00,25.59,25.51,24.57
108.57812,24.00,24.00,24.00,25.52,25.45,24.59
108.58853,24.00,24.00,24.00,25.42,25.34,24.60
108.59896,24.00,24.00,24.00,25.30,25.20,24.61
108.60937,24.00,24.00,24.00,25.15,25.06,24.60
108.61978,24.00,24.00,24.00,24.98,24.91,24.60
108.63021,24.00,24.00,24.00,24.82,24.77,24.58
108.64062,24.00,24.00,24.00,24.69,24.65,24.57
108.65103,24.00,24.00,24.00,24.58,24.55,24.55
108.66146,24.00,24.00,24.00,24.47,24.45,24.53
108.67187,24.00,24.00,24.00,24.39,24.37,24.52
108.68228,24.00,24.00,24.00,24.31,24.29,24.50
108.69271,24.00,24.00,24.00,24.23,24.22,24.49
108.70312,24.00,24.00,24.00,24.17,24.16,24.47
108.71353,24.00,24.00,24.00,24.09,24.09,24.46
108.72396,24.00,24.00,24.00,24.01,24.01,24.44
108.73437,24.00,24.00,24.00,23.94,23.94,24.43
108.74478,23.95,24.00,24.00,23.85,23.87,24.42
108.75521,23.50,23.54,24.71,23.52,23.54,24.78
108.76562,22.58,22.56,25.71,22.90,22.89,25.32
108.77603,21.94,21.94,25.98,22.40,22.40,25.49
108.78646,21.71,21.72,25.98,22.12,22.13,25.51
108.79687,21.42,21.43,26.00,21.82,21.83,25.52
108.80728,21.11,21.12,26.00,21.52,21.53,25.51
108.81771,20.84,20.85,25.99,21.25,21.26,25.50
108.82812,20.59,20.60,25.99,21.00,21.01,25.49
108.83853,20.36,20.36,25.62,20.77,20.78,25.26
108.84896,20.14,20.15,25.26,20.55,20.56,24.99
108.85937,19.94,19.95,25.20,20.35,20.36,24.89
108.86978,19.75,19.76,25.05,20.16,20.16,24.75
108.88021,19.57,19.58,24.91,19.97,19.98,24.62
108.89062,19.38,19.39,24.79,19.78,19.79,24.51
108.90103,19.19,19.20,24.68,19.59,19.60,24.40
108.91146,18.99,19.00,24.56,19.40,19.41,24.29
108.92187,18.79,18.80,24.46,19.20,19.21,24.19
108.93228,18.62,18.63,24.35,19.03,19.04,24.09
108.94271,18.46,18.47,24.25,18.87,18.88,23.99
108.95312,18.32,18.33,24.15,18.72,18.73,23.89
108.96353,18.19,18.20,24.05,18.59,18.60,23.80
108.97396,18.07,18.08,23.95,18.46,18.47,23.71
108.98437,17.95,17.96,23.86,18.34,18.35,23.61
108.99478,17.83,17.84,23.76,18.22,18.23,23.53
109.00521,17.72,17.73,23.67,18.10,18.11,23.44
109.01562,17.60,17.61,23.58,17.99,18.00,23.36
109.02603,17.49,17.50,23.50,17.87,17.88,23.27
109.03646,17.38,17.39,23.41,17.76,17.77,23.20
109.04687,17.27,17.28,23.33,17.65,17.66,23.12
109.05728,17.17,17.18,23.26,17.55,17.56,23.04
109.06771,17.07,17.08,23.18,17.44,17.45,22.97
109.07812,16.97,16.98,23.10,17.34,17.35,22.89
109.08853,16.88,16.89,23.03,17.25,17.26,22.82
109.09896,16.79,16.80,22.96,17.16,17.17,22.75
109.10937,16.71,16.72,22.88,17.08,17.09,22.68
109.11978,16.64,16.65,22.81,17.00,17.01,22.61
109.13021,16.57,16.58,22.74,16.93,16.93,22.54
109.14062,16.51,16.52,22.68,16.86,16.86,22.47
109.15103,16.45,16.46,22.61,16.79,16.80,22.41
109.16146,16.39,16.40,22.54,16.73,16.74,22.34
109.17187,16.34,16.34,22.48,16.67,16.68,22.28
109.18228,16.27,16.28,22.42,16.61,16.62,22.22
109.19271,16.21,16.22,22.36,16.54,16.55,22.16
109.20312,16.14,16.15,22.29,16.48,16.49,22.10
109.21353,16.08,16.09,22.24,16.42,16.42,22.04
109.22396,16.03,16.03,22.18,16.37,16.37,21.98
109.23437,15.99,15.99,22.12,16.33,16.34,21.93
109.24478,15.96,15.97,22.07,16.30,16.31,21.87
