 
Zone db temperature (degC)
For zone: room
 
#Time "Base case       ","U01 0.33        ","U01 0.60        ","U01 0.90        ","U01 1.37        ","U01 3.16        ","U01 0.89        ","U01-0.62        ","U01 1.30        ","M-C run:   9    ",
32.00520,9.3777,9.3846,9.3797,9.3811,9.3828,9.3855,9.3952,9.3827,9.3742,9.3850
32.01562,9.3723,9.3797,9.3744,9.3759,9.3778,9.3806,9.3909,9.3777,9.3685,9.3802
32.02604,9.3712,9.3792,9.3735,9.3751,9.3771,9.3801,9.3911,9.3770,9.3672,9.3797
32.03645,9.3714,9.3799,9.3738,9.3756,9.3777,9.3809,9.3925,9.3776,9.3670,9.3804
32.04687,9.3666,9.3757,9.3692,9.3711,9.3734,9.3768,9.3890,9.3732,9.3619,9.3762
32.05729,9.3501,9.3597,9.3529,9.3549,9.3573,9.3609,9.3739,9.3571,9.3450,9.3603
32.06770,9.3260,9.3362,9.3289,9.3311,9.3336,9.3375,9.3511,9.3335,9.3206,9.3369
32.07812,9.3001,9.3110,9.3032,9.3055,9.3082,9.3123,9.3266,9.3081,9.2944,9.3116
32.08854,9.2757,9.2872,9.2790,9.2814,9.2843,9.2885,9.3036,9.2841,9.2697,9.2879
32.09895,9.2564,9.2684,9.2598,9.2623,9.2653,9.2698,9.2857,9.2652,9.2500,9.2691
32.10937,9.2403,9.2529,9.2439,9.2465,9.2497,9.2544,9.2710,9.2495,9.2336,9.2537
32.11979,9.2247,9.2379,9.2285,9.2313,9.2346,9.2395,9.2569,9.2344,9.2176,9.2387
32.13020,9.2094,9.2233,9.2134,9.2163,9.2198,9.2249,9.2431,9.2196,9.2021,9.2241
32.14062,9.1945,9.2090,9.1986,9.2017,9.2053,9.2107,9.2296,9.2051,9.1868,9.2098
32.15104,9.1797,9.1949,9.1841,9.1872,9.1910,9.1966,9.2164,9.1908,9.1717,9.1957
32.16145,9.1651,9.1808,9.1696,9.1729,9.1768,9.1826,9.2032,9.1766,9.1568,9.1817
32.17187,9.1506,9.1669,9.1552,9.1587,9.1627,9.1688,9.1901,9.1625,9.1419,9.1678
32.18229,9.1361,9.1529,9.1409,9.1444,9.1486,9.1549,9.1770,9.1484,9.1271,9.1539
32.19270,9.1215,9.1390,9.1265,9.1302,9.1345,9.1410,9.1639,9.1343,9.1123,9.1400
32.20312,9.1070,9.1250,9.1121,9.1159,9.1204,9.1271,9.1507,9.1201,9.0974,9.1260
32.21354,9.0900,9.1086,9.0953,9.0992,9.1038,9.1107,9.1351,9.1036,9.0801,9.1097
32.22395,9.0678,9.0869,9.0732,9.0773,9.0820,9.0891,9.1142,9.0818,9.0576,9.0880
32.23437,9.0421,9.0617,9.0477,9.0518,9.0567,9.0640,9.0898,9.0564,9.0316,9.0629
32.24479,9.0153,9.0355,9.0210,9.0253,9.0303,9.0378,9.0643,9.0300,9.0046,9.0366
32.25520,8.9954,9.0161,9.0013,9.0057,9.0108,9.0185,9.0456,9.0105,8.9845,9.0173
32.26562,8.9919,9.0131,8.9979,9.0024,9.0076,9.0155,9.0434,9.0074,8.9806,9.0143
32.27604,8.9991,9.0209,9.0053,9.0099,9.0153,9.0234,9.0520,9.0150,8.9876,9.0221
32.28645,9.0090,9.0313,9.0153,9.0200,9.0255,9.0339,9.0633,9.0253,8.9971,9.0325
32.29687,9.0178,9.0407,9.0242,9.0291,9.0348,9.0433,9.0735,9.0345,9.0056,9.0419
32.30729,9.0221,9.0455,9.0287,9.0337,9.0395,9.0482,9.0791,9.0392,9.0097,9.0468
32.31770,9.0238,9.0477,9.0305,9.0356,9.0415,9.0504,9.0821,9.0412,9.0111,9.0490
32.32812,9.0256,9.0500,9.0325,9.0377,9.0437,9.0528,9.0851,9.0434,9.0126,9.0514
32.33854,9.1068,9.1318,9.1139,9.1192,9.1253,9.1347,9.1677,9.1250,9.0936,9.1332
32.34895,9.2791,9.3047,9.2863,9.2917,9.2981,9.3076,9.3415,9.2977,9.2656,9.3061
32.35937,9.3868,9.4128,9.3941,9.3996,9.4061,9.4158,9.4504,9.4058,9.3730,9.4143
32.36979,9.4175,9.4440,9.4250,9.4306,9.4371,9.4470,9.4820,9.4368,9.4035,9.4454
32.38020,9.4562,9.4829,9.4637,9.4693,9.4760,9.4859,9.5214,9.4756,9.4420,9.4844
32.39062,9.5020,9.5290,9.5096,9.5153,9.5220,9.5321,9.5679,9.5217,9.4877,9.5305
32.40104,9.5459,9.5732,9.5536,9.5594,9.5662,9.5763,9.6125,9.5658,9.5315,9.5747
32.41145,9.5898,9.6174,9.5976,9.6034,9.6102,9.6205,9.6570,9.6099,9.5753,9.6189
32.42187,9.6327,9.6604,9.6405,9.6464,9.6532,9.6636,9.7005,9.6529,9.6180,9.6620
32.43229,9.6710,9.6990,9.6788,9.6848,9.6917,9.7022,9.7394,9.6914,9.6562,9.7005
32.44270,9.7064,9.7346,9.7143,9.7203,9.7273,9.7378,9.7753,9.7270,9.6915,9.7362
32.45312,9.7420,9.7704,9.7500,9.7560,9.7631,9.7736,9.8114,9.7627,9.7271,9.7720
