# Time, Col 1, Col 2, Col 3, Col 4
  1.004167,22.000,15.000,10.000,10.000
  1.008333,22.050,15.000,10.000,10.130
  1.012500,22.110,15.000,10.000,10.260
  1.016667,22.160,15.000,10.000,10.390
  1.020833,22.210,15.000,10.000,10.520
  1.025000,22.260,15.000,10.000,10.650
  1.029167,22.310,15.000,10.000,10.780
  1.033333,22.360,15.000,10.000,10.910
  1.037500,22.420,15.000,10.000,11.040
  1.041667,22.470,15.000,10.000,11.170
  1.045833,22.520,15.000,10.000,11.290
  1.050000,22.570,15.000,10.000,11.420
  1.054167,22.620,15.000,10.000,11.550
  1.058333,22.670,15.000,10.000,11.670
  1.062500,22.720,15.000,10.000,11.790
  1.066667,22.770,15.000,10.000,11.910
  1.070833,22.810,15.000,10.000,12.030
  1.075000,22.860,15.000,10.000,12.150
  1.079167,22.910,15.000,10.000,12.270
  1.083333,22.950,15.000,10.000,12.390
  1.087500,23.000,15.000,10.000,12.500
  1.091667,23.050,15.000,10.000,12.610
  1.095833,23.090,15.000,10.000,12.720
  1.100000,23.130,15.000,10.000,12.830
  1.104167,23.180,15.000,10.000,12.940
  1.108333,23.220,15.000,10.000,13.040
  1.112500,23.260,15.000,10.000,13.150
  1.116667,23.300,15.000,10.000,13.250
  1.120833,23.340,15.000,10.000,13.350
  1.125000,23.380,15.000,10.000,13.440
  1.129167,23.410,15.000,10.000,13.540
  1.133333,23.450,15.000,10.000,13.630
  1.137500,23.490,15.000,10.000,13.720
  1.141667,23.520,15.000,10.000,13.800
  1.145833,23.550,15.000,10.000,13.890
  1.150000,23.590,15.000,10.000,13.970
  1.154167,23.620,15.000,10.000,14.050
  1.158333,23.650,15.000,10.000,14.120
  1.162500,23.680,15.000,10.000,14.190
  1.166667,23.710,15.000,10.000,14.260
  1.170833,23.730,15.000,10.000,14.330
  1.175000,23.760,15.000,10.000,14.390
  1.179167,23.780,15.000,10.000,14.460
  1.183333,23.810,15.000,10.000,14.510
  1.187500,23.830,15.000,10.000,14.570
  1.191667,23.850,15.000,10.000,14.620
  1.195833,23.870,15.000,10.000,14.670
  1.200000,23.890,15.000,10.000,14.710
  1.204167,23.900,15.000,10.000,14.760
  1.208333,23.920,15.000,10.000,14.790
  1.212500,23.930,15.000,10.000,14.830
  1.216667,23.950,15.000,10.000,14.860
  1.220833,23.960,15.000,10.000,14.890
  1.225000,23.970,15.000,10.000,14.920
  1.229167,23.980,15.000,10.000,14.940
  1.233333,23.980,15.000,10.000,14.960
  1.237500,23.990,15.000,10.000,14.970
  1.241667,23.990,15.000,10.000,14.980
  1.245833,24.000,15.000,10.000,14.990
  1.250000,24.000,15.000,10.000,15.000
  1.254167,24.000,15.000,10.000,15.000
  1.258333,24.000,15.000,10.000,15.000
  1.262500,24.000,15.000,10.000,14.990
  1.266667,23.990,15.000,10.000,14.980
  1.270833,23.990,15.000,10.000,14.970
  1.275000,23.980,15.000,10.000,14.960
  1.279167,23.980,15.000,10.000,14.940
  1.283333,23.970,15.000,10.000,14.920
  1.287500,23.960,15.000,10.000,14.890
  1.291667,23.950,15.000,10.000,14.860
  1.295833,23.930,15.000,10.000,14.830
  1.300000,23.920,15.000,10.000,14.790
  1.304167,23.900,15.000,10.000,14.760
  1.308333,23.890,15.000,10.000,14.710
  1.312500,23.870,15.000,10.000,14.670
  1.316667,23.850,15.000,10.000,14.620
  1.320833,23.830,15.000,10.000,14.570
  1.325000,23.810,15.000,10.000,14.510
  1.329167,23.780,15.000,10.000,14.460
  1.333333,23.760,15.000,10.000,14.390
  1.337500,23.730,15.000,10.000,14.330
  1.341667,23.710,15.000,10.000,14.260
  1.345833,23.680,15.000,10.000,14.190
  1.350000,23.650,15.000,10.000,14.120
  1.354167,23.620,15.000,10.000,14.050
  1.358333,23.590,15.000,10.000,13.970
  1.362500,23.550,15.000,10.000,13.890
  1.366667,23.520,15.000,10.000,13.800
  1.370833,23.490,15.000,10.000,13.720
  1.375000,23.450,15.000,10.000,13.630
  1.379167,23.410,15.000,10.000,13.540
  1.383333,23.380,15.000,10.000,13.440
  1.387500,23.340,15.000,10.000,13.350
  1.391667,23.300,15.000,10.000,13.250
  1.395833,23.260,15.000,10.000,13.150
  1.400000,23.220,15.000,10.000,13.040
  1.404167,23.180,15.000,10.000,12.940
  1.408333,23.130,15.000,10.000,12.830
  1.412500,23.090,15.000,10.000,12.720
  1.416667,23.050,15.000,10.000,12.610
  1.420833,23.000,15.000,10.000,12.500
  1.425000,22.950,15.000,10.000,12.390
  1.429167,22.910,15.000,10.000,12.270
  1.433333,22.860,15.000,10.000,12.150
  1.437500,22.810,15.000,10.000,12.030
  1.441667,22.770,15.000,10.000,11.910
  1.445833,22.720,15.000,10.000,11.790
  1.450000,22.670,15.000,10.000,11.670
  1.454167,22.620,15.000,10.000,11.550
  1.458333,22.570,15.000,10.000,11.420
  1.462500,22.520,15.000,10.000,11.290
  1.466667,22.470,15.000,10.000,11.170
  1.470833,22.420,15.000,10.000,11.040
  1.475000,22.360,15.000,10.000,10.910
  1.479167,22.310,15.000,10.000,10.780
  1.483333,22.260,15.000,10.000,10.650
  1.487500,22.210,15.000,10.000,10.520
  1.491667,22.160,15.000,10.000,10.390
  1.495833,22.110,15.000,10.000,10.260
  1.500000,22.050,15.000,10.000,10.130
  1.504167,22.000,15.000,10.000,10.000
  1.508333,21.950,15.000,10.000,9.8700
  1.512500,21.900,15.000,10.000,9.7400
  1.516667,21.840,15.000,10.000,9.6100
  1.520833,21.790,15.000,10.000,9.4800
  1.525000,21.740,15.000,10.000,9.3500
  1.529167,21.690,15.000,10.000,9.2200
  1.533333,21.640,15.000,10.000,9.0900
  1.537500,21.580,15.000,10.000,8.9600
  1.541667,21.530,15.000,10.000,8.8300
  1.545833,21.480,15.000,10.000,8.7100
  1.550000,21.430,15.000,10.000,8.5800
  1.554167,21.380,15.000,10.000,8.4500
  1.558333,21.330,15.000,10.000,8.3300
  1.562500,21.280,15.000,10.000,8.2100
  1.566667,21.240,15.000,10.000,8.0900
  1.570833,21.190,15.000,10.000,7.9700
  1.575000,21.140,15.000,10.000,7.8500
  1.579167,21.090,15.000,10.000,7.7300
  1.583333,21.050,15.000,10.000,7.6100
  1.587500,21.000,15.000,10.000,7.5000
  1.591667,20.960,15.000,10.000,7.3900
  1.595833,20.910,15.000,10.000,7.2800
  1.600000,20.870,15.000,10.000,7.1700
  1.604167,20.820,15.000,10.000,7.0600
  1.608333,20.780,15.000,10.000,6.9600
  1.612500,20.740,15.000,10.000,6.8500
  1.616667,20.700,15.000,10.000,6.7500
  1.620833,20.660,15.000,10.000,6.6500
  1.625000,20.620,15.000,10.000,6.5600
  1.629167,20.590,15.000,10.000,6.4600
  1.633333,20.550,15.000,10.000,6.3700
  1.637500,20.510,15.000,10.000,6.2800
  1.641667,20.480,15.000,10.000,6.2000
  1.645833,20.450,15.000,10.000,6.1100
  1.650000,20.410,15.000,10.000,6.0300
  1.654167,20.380,15.000,10.000,5.9500
  1.658333,20.350,15.000,10.000,5.8800
  1.662500,20.320,15.000,10.000,5.8100
  1.666667,20.300,15.000,10.000,5.7400
  1.670833,20.270,15.000,10.000,5.6700
  1.675000,20.240,15.000,10.000,5.6100
  1.679167,20.220,15.000,10.000,5.5400
  1.683333,20.200,15.000,10.000,5.4900
  1.687500,20.170,15.000,10.000,5.4300
  1.691667,20.150,15.000,10.000,5.3800
  1.695833,20.130,15.000,10.000,5.3300
  1.700000,20.120,15.000,10.000,5.2900
  1.704167,20.100,15.000,10.000,5.2400
  1.708333,20.080,15.000,10.000,5.2100
  1.712500,20.070,15.000,10.000,5.1700
  1.716667,20.060,15.000,10.000,5.1400
  1.720833,20.040,15.000,10.000,5.1100
  1.725000,20.030,15.000,10.000,5.0800
  1.729167,20.030,15.000,10.000,5.0600
  1.733333,20.020,15.000,10.000,5.0400
  1.737500,20.010,15.000,10.000,5.0300
  1.741667,20.010,15.000,10.000,5.0200
  1.745833,20.000,15.000,10.000,5.0100
  1.750000,20.000,15.000,10.000,5.0000
  1.754167,20.000,15.000,10.000,5.0000
  1.758333,20.000,15.000,10.000,5.0000
  1.762500,20.000,15.000,10.000,5.0100
  1.766667,20.010,15.000,10.000,5.0200
  1.770833,20.010,15.000,10.000,5.0300
  1.775000,20.020,15.000,10.000,5.0400
  1.779167,20.030,15.000,10.000,5.0600
  1.783333,20.030,15.000,10.000,5.0800
  1.787500,20.040,15.000,10.000,5.1100
  1.791667,20.060,15.000,10.000,5.1400
  1.795833,20.070,15.000,10.000,5.1700
  1.800000,20.080,15.000,10.000,5.2100
  1.804167,20.100,15.000,10.000,5.2400
  1.808333,20.120,15.000,10.000,5.2900
  1.812500,20.130,15.000,10.000,5.3300
  1.816667,20.150,15.000,10.000,5.3800
  1.820833,20.170,15.000,10.000,5.4300
  1.825000,20.200,15.000,10.000,5.4900
  1.829167,20.220,15.000,10.000,5.5400
  1.833333,20.240,15.000,10.000,5.6100
  1.837500,20.270,15.000,10.000,5.6700
  1.841667,20.300,15.000,10.000,5.7400
  1.845833,20.320,15.000,10.000,5.8100
  1.850000,20.350,15.000,10.000,5.8800
  1.854167,20.380,15.000,10.000,5.9500
  1.858333,20.410,15.000,10.000,6.0300
  1.862500,20.450,15.000,10.000,6.1100
  1.866667,20.480,15.000,10.000,6.2000
  1.870833,20.510,15.000,10.000,6.2800
  1.875000,20.550,15.000,10.000,6.3700
  1.879167,20.590,15.000,10.000,6.4600
  1.883333,20.620,15.000,10.000,6.5600
  1.887500,20.660,15.000,10.000,6.6500
  1.891667,20.700,15.000,10.000,6.7500
  1.895833,20.740,15.000,10.000,6.8500
  1.900000,20.780,15.000,10.000,6.9600
  1.904167,20.820,15.000,10.000,7.0600
  1.908333,20.870,15.000,10.000,7.1700
  1.912500,20.910,15.000,10.000,7.2800
  1.916667,20.960,15.000,10.000,7.3900
  1.920833,21.000,15.000,10.000,7.5000
  1.925000,21.050,15.000,10.000,7.6100
  1.929167,21.090,15.000,10.000,7.7300
  1.933333,21.140,15.000,10.000,7.8500
  1.937500,21.190,15.000,10.000,7.9700
  1.941667,21.240,15.000,10.000,8.0900
  1.945833,21.280,15.000,10.000,8.2100
  1.950000,21.330,15.000,10.000,8.3300
  1.954167,21.380,15.000,10.000,8.4500
  1.958333,21.430,15.000,10.000,8.5800
  1.962500,21.480,15.000,10.000,8.7100
  1.966667,21.530,15.000,10.000,8.8300
  1.970833,21.580,15.000,10.000,8.9600
  1.975000,21.640,15.000,10.000,9.0900
  1.979167,21.690,15.000,10.000,9.2200
  1.983333,21.740,15.000,10.000,9.3500
  1.987500,21.790,15.000,10.000,9.4800
  1.991667,21.840,15.000,10.000,9.6100
  1.995833,21.900,15.000,10.000,9.7400
  2.000000,21.950,15.000,10.000,9.8700
  2.004167,22.000,15.000,10.000,10.000
  2.008333,22.050,15.000,10.000,10.130
  2.012500,22.110,15.000,10.000,10.260
  2.016667,22.160,15.000,10.000,10.390
  2.020833,22.210,15.000,10.000,10.520
  2.025000,22.260,15.000,10.000,10.650
  2.029167,22.310,15.000,10.000,10.780
  2.033333,22.360,15.000,10.000,10.910
  2.037500,22.420,15.000,10.000,11.040
  2.041667,22.470,15.000,10.000,11.170
  2.045833,22.520,15.000,10.000,11.290
  2.050000,22.570,15.000,10.000,11.420
  2.054167,22.620,15.000,10.000,11.550
  2.058333,22.670,15.000,10.000,11.670
  2.062500,22.720,15.000,10.000,11.790
  2.066667,22.770,15.000,10.000,11.910
  2.070833,22.810,15.000,10.000,12.030
  2.075000,22.860,15.000,10.000,12.150
  2.079167,22.910,15.000,10.000,12.270
  2.083333,22.950,15.000,10.000,12.390
  2.087500,23.000,15.000,10.000,12.500
  2.091667,23.050,15.000,10.000,12.610
  2.095833,23.090,15.000,10.000,12.720
  2.100000,23.130,15.000,10.000,12.830
  2.104167,23.180,15.000,10.000,12.940
  2.108333,23.220,15.000,10.000,13.040
  2.112500,23.260,15.000,10.000,13.150
  2.116667,23.300,15.000,10.000,13.250
  2.120833,23.340,15.000,10.000,13.350
  2.125000,23.380,15.000,10.000,13.440
  2.129167,23.410,15.000,10.000,13.540
  2.133333,23.450,15.000,10.000,13.630
  2.137500,23.490,15.000,10.000,13.720
  2.141667,23.520,15.000,10.000,13.800
  2.145833,23.550,15.000,10.000,13.890
  2.150000,23.590,15.000,10.000,13.970
  2.154167,23.620,15.000,10.000,14.050
  2.158333,23.650,15.000,10.000,14.120
  2.162500,23.680,15.000,10.000,14.190
  2.166667,23.710,15.000,10.000,14.260
  2.170833,23.730,15.000,10.000,14.330
  2.175000,23.760,15.000,10.000,14.390
  2.179167,23.780,15.000,10.000,14.460
  2.183333,23.810,15.000,10.000,14.510
  2.187500,23.830,15.000,10.000,14.570
  2.191667,23.850,15.000,10.000,14.620
  2.195833,23.870,15.000,10.000,14.670
  2.200000,23.890,15.000,10.000,14.710
  2.204167,23.900,15.000,10.000,14.760
  2.208333,23.920,15.000,10.000,14.790
  2.212500,23.930,15.000,10.000,14.830
  2.216667,23.950,15.000,10.000,14.860
  2.220833,23.960,15.000,10.000,14.890
  2.225000,23.970,15.000,10.000,14.920
  2.229167,23.980,15.000,10.000,14.940
  2.233333,23.980,15.000,10.000,14.960
  2.237500,23.990,15.000,10.000,14.970
  2.241667,23.990,15.000,10.000,14.980
  2.245833,24.000,15.000,10.000,14.990
  2.250000,24.000,15.000,10.000,15.000
  2.254167,24.000,15.000,10.000,15.000
  2.258333,24.000,15.000,10.000,15.000
  2.262500,24.000,15.000,10.000,14.990
